"Rtn_Date","Target","Average","Variance","t_1","t_2","t_3","v_1","v_2","v_3","v_4","v_5","Cat","Estimate"
"2015-08-14",0.00483596805745561,0.000219,0.000387,0.00519567006596233,-0.0200270882561809,0.0169140496000706,14302700,18821900,33589100,23758900,22807400,3,-0.0124192039480203
"2015-08-21",-0.0885789604984117,-0.013685,0.00028,-0.0352343612337681,-0.0292665716055511,-0.0190245243860255,52288400,31936600,30530100,19182600,15548300,1,-0.0565495335371696
"2015-08-28",0.0676868357113247,0.005755,0.001064,0.0252525622385484,0.0153846159481545,0.0552763024632277,43452400,38649400,47386700,59371900,83234200,4,0.0151166313928628
"2015-09-04",0.00351247287714062,0.004968,0.000516,-0.0192572214580468,0.0167832167832167,0.0280373831775702,29116500,38665900,34618800,44144000,42401800,4,0.0151166313928628
"2015-09-11",0.0327671672706947,0.005156,0.00036,0.00683290058079944,0.00102599179206564,-0.00881355932203398,21786900,25195800,30774100,27805000,29116500,4,0.0151166313928628
"2015-09-18",-0.015387515360748,-0.001368,0.000144,-0.0232244706571684,-0.00201548538797447,0.00134544231416078,60693400,29805200,25957800,29819000,24065100,4,0.0151166313928628
"2015-09-25",-0.00726273306977532,-0.005037,0.000183,0.0115870435393259,-0.00904662491301311,0.00244157656086497,29192300,32754700,25984000,28576200,24417100,2,-0.0339355264482611
"2015-10-02",0.0573319843423118,0.011613,0.000173,0.0170000000000001,-0.00464495702206225,0.0307797195622435,27901500,29832800,41051700,34169600,42291000,5,0.039667916999274
"2015-10-09",0.052046830466911,0.011617,0.000161,-0.011685147601476,0.0061881188118813,0.0182734719596724,24209900,27794600,36930100,34899800,34842500,5,0.039667916999274
"2015-10-16",0.0276176497236312,0.002711,0.000154,0.00885499236641207,-0.00152435980257193,0.0237202864007402,29371300,37634800,75954800,35588600,18795000,5,0.039667916999274
"2015-10-23",0.0547679075958496,0.010724,0.000171,0.0145348828758789,0.0308661381739928,-0.00209330149800546,42796600,39572600,31928800,24416100,37624000,5,0.039667916999274
"2015-10-30",-0.0302524802766086,-0.002573,0.000144,-0.00499553349972182,-0.0195908965598071,0.00696251792972102,24693900,21325200,21908400,22630100,22646900,3,-0.0124192039480203
"2015-11-06",-0.000590871500338865,-0.000918,3.4e-05,-0.00470588235294112,-0.00439244483792423,-0.00466333416894971,23701700,16486100,20762100,18167000,21743100,3,-0.0124192039480203
"2015-11-13",-0.0524759954936545,-0.009479,2e-05,-0.00895064759563913,-0.0139987518563982,-0.0105389343733496,23673200,23265400,19864700,22451700,24168700,1,-0.0565495335371696
"2015-11-20",0.0764187450430917,0.011394,0.000226,0.0104956562826721,0.0343787394451147,0.0159314036743687,41137700,45381600,18619800,22636400,29899700,5,0.039667916999274
"2015-11-27",-0.00578708220682936,0.006518,0.000217,0.00029021769839721,0.002619324720043,-0.00348024941995362,6620900,17939400,21413500,20152900,41137700,4,0.0151166313928628
"2015-12-04",0.0138330740047872,0.002473,0.000279,0.0264394234300993,-0.0226816237334699,-0.00740946138501009,24901000,30131100,18688200,23560200,21785800,3,-0.0124192039480203
"2015-12-11",-0.0193619401989002,0.001201,0.00019,-0.0143802128271499,-0.00114912378198428,0.00172664748201434,21251400,17400700,22548300,13380200,17731900,4,0.0151166313928628
"2015-12-18",-0.0117406985814908,-0.004229,0.000316,-0.0297909195073044,-0.011048130624593,0.00341100056850485,41336600,24963600,23257900,24365900,19357100,4,0.0151166313928628
"2015-12-24",0.0322468322854291,-0.0014,0.000277,-0.000571428571428667,0.00777425856608138,0.0143106884164317,5893800,12526500,18422000,18006800,41336600,4,0.0151166313928628
